url,dataset_source,having_ip_address,url_length,url_length_score,shortening_service,having_at_symbol,double_slash_redirecting,prefix_suffix,having_sub_domain,ssl_state,domain_registration_length,favicon,port,https_token,request_url_ratio,url_of_anchor_ratio,links_in_tags_ratio,sfh_external,submitting_to_email,abnormal_url,redirect_count,on_mouseover,right_click_disabled,popup_window,iframe_hidden,age_of_domain,dns_record,web_traffic,page_rank,google_index,links_pointing_to_page,statistical_report,dom_node_count,dom_max_depth,graph_avg_degree,label
http://xkcd.com/445/,kragg033/phishing-detection,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.22889543623654934,0.24709332957320307,0.06097793823447657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9390311222792773,0.6511462864659625,1.0,70.0,0.0,411.0,8.0,3.476350459876636,0
http://topics.sacbee.com/Kamala+Harris/,waawerufidelis/website-phishing,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.13079950708945182,0.14027729043900591,0.25207929055976575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7543806873023116,0.8655674476101684,1.0,47.0,0.0,248.0,15.0,3.0243367815018116,0
http://wiki.answers.com/Q/FAQ/825-32,duygujones/website-phishing-detection-ml-project,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25085737716297385,0.08501873967064008,0.16227662042100782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.704300752655745,0.9215500798359542,1.0,65.0,0.0,512.0,9.0,3.4163796235873143,0
http://internet.realitytvcalendar.com/california-att-tv-internet-deals.html,waawerufidelis/website-phishing,0.0,75.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2564812730676183,0.20958388991536622,0.16740981903368224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7872365826328782,0.7661605096398669,1.0,63.0,0.0,460.0,14.0,2.9571953055360685,0
http://britannia.com/history/resource/popes.html,waawerufidelis/website-phishing,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09840388252112674,0.16665077055972757,0.09923349280714096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8710863106775046,0.6409166890743583,1.0,67.0,0.0,238.0,19.0,3.349806868434953,0
http://boogaholler.com/cgi-bin/textures.pl,kragg033/phishing-detection,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.29414825896732155,0.16453032767230522,0.19345841465284774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8766543667672397,0.7445291912536706,1.0,29.0,0.0,326.0,19.0,3.228198979904493,0
http://bestattung-eckl.at/typo3temp/wizard.php,duygujones/website-phishing-detection-ml-project,0.0,46.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5516538253972756,0.875868136144772,0.4258727398345506,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.10286062185822448,0.1546617340395194,0.0,0.0,1.0,76.0,4.0,1.7279699816757148,1
http://188.127.249.32/data/info.php,kragg033/phishing-detection,1.0,35.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5917735341554339,0.9781624320565812,0.517020972996151,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.17660677744898187,0.04533438054151904,0.0,1.0,1.0,79.0,5.0,1.6997239893831422,1
http://openlibrary.org/books/OL905149M/Marriages_deaths_and_etc._from_The_Butler_(Georgia)_Herald_1876-1896,kragg033/phishing-detection,0.0,107.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.12562714708297762,0.05287849647124772,0.15666241124996078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7325303523093367,0.834970285760044,1.0,56.0,0.0,211.0,14.0,2.9658928143343393,0
http://richsportsmgmt.com/administrator/help/en-GB/U.S.Bank.Securiy.Center.html,duygujones/website-phishing-detection-ml-project,0.0,79.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5434649071225395,0.9616708961340841,0.795386531866017,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.12069286013743978,0.032319591191604234,0.0,0.0,1.0,102.0,3.0,1.2755081645660185,1
http://188.165.28.225/module/272a5ad4a1b97a2ac874d6d3e5fff01d,waawerufidelis/website-phishing,1.0,61.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5046608441168696,0.7393232324923349,0.8901289807435605,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.08349499812353847,0.15666139759619024,0.0,2.0,1.0,66.0,3.0,1.2407083727710413,1
http://maconbibbgeorgia.blogspot.com/2010/07/krispy-kreme-doughnuts-macon-georgia.html,kragg033/phishing-detection,0.0,86.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.23490741794197667,0.055672067985732654,0.28551550135380427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9621519858921302,0.6971748109287098,1.0,57.0,0.0,507.0,11.0,4.491061493406162,0
http://lightsportamerica.com/wtp/file/2/yn/filewords/,kragg033/phishing-detection,0.0,53.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541237853430352,0.7348891841091999,0.7334640206538057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09982287067666128,0.09063813251968296,0.0,0.0,1.0,41.0,6.0,2.0369242196440958,1
http://bert.healthcareerkit.com/civis/index.php?PHPSESSID=83p&amp;action=141631q5v9640h28m3si71.v1&amp;,kragg033/phishing-detection,0.0,103.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7197779522429966,0.8037031657112306,0.43186070624791706,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.18624347593205015,0.15553623394305005,0.0,1.0,1.0,72.0,5.0,1.5427660883428491,1
http://uk.ask.com/wiki/Mountain_Hawk-Eagle,waawerufidelis/website-phishing,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07669295683962289,0.23209757109986895,0.2749712604373494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7447442422715443,0.894843348906529,1.0,31.0,0.0,338.0,18.0,2.8941872947840577,0
http://www.cadin.org.ni/plugins/pagebreak.html,kragg033/phishing-detection,0.0,46.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7190439765708646,0.8377499124293917,0.6581233488764862,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029444562876669023,0.03370425410888183,0.0,1.0,1.0,33.0,4.0,1.8659572987607402,1
http://63.248.156.246/Ares13.zip,duygujones/website-phishing-detection-ml-project,1.0,32.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.6074216077707786,0.8621396877056664,0.6827821627839772,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08331469177217178,0.037577990054502824,0.0,1.0,1.0,76.0,6.0,1.9436319563988622,1
http://amazon.com/Spy-Smasher-VHS-Kane-Richmond/dp/6300210685,sindhi586/phishing-domain-detection-project,0.0,61.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.24930254603912372,0.19844911715234462,0.11011733346756868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.765529773350624,0.955012212808542,1.0,41.0,0.0,560.0,15.0,3.7331997095120126,0
http://un.org/en/holocaustremembrance/links.shtml,kragg033/phishing-detection,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.12212966972745122,0.21741639231885876,0.19448309144305737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9260688169489764,0.73618377950669,1.0,18.0,0.0,373.0,11.0,4.397346142248114,0
http://www.zgmmzzw.com/img/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;app=com-d3,sindhi586/phishing-domain-detection-project,0.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.879251065647754,0.7647689908784636,0.4400174772217259,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.10009728293213722,0.0596632970797278,0.0,1.0,1.0,100.0,6.0,1.2639657398671935,1
http://hotelsneartheairport.com/kcikansascity.html,sindhi586/phishing-domain-detection-project,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.16095207144497953,0.2150958918976525,0.23236566077002246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8594906064204394,0.9230473641272765,1.0,64.0,0.0,565.0,17.0,3.7385562025068406,0
